Word ,Meaning
abfahren,to depart
anfangen,to start
aufstehen,to get up
aussehen,to look
einschlafen,to fall asleep
losgehen,to depart
loswerden,to get rid of
mitkommen,to come along
nachfühlen,to refill
vorhaben,to have planned
wegwerfen,to throw away
zumachen,to close
zurüuckkommen,to come back
zusammenbrechen,to collapse
Der Zug fährt arb.,The train is departing.
Der Film fängt an.,The movie is starting.
Steh auf!,Get up!
Das sieht sehr gut aus.,This looks very good.
Sie schliefen sofort ein.,They fell asleep immediately.
Ich wurde den Wagen los.,I got rid of the car.
Kommt ihr mit_,Are you coming along?
Der Kellener füllt die Gläser nach.,The waiter is refilling the glasses.
Was hast du jetzt vor?,What are you going to do now?
Ich werfe den Stuhl weg.,I'm throwing the chair away.
Mach das Fenster zu!,Close the window!
Wann kommst du zurück?,When will you come back?
Die Brücke brach zusammen.,The bridge collapsed.
